,term,term_id,variant_of,variant_of_id,plural_of,plural_of_id,romanization_of,romanization_of_id,language_id,language,malignant_meaning,benign_meaning,is_about_nationality,nationalities,is_about_ethnicity,athnicities,is_about_religion,religions,is_about_gender,genders,is_about_orientation,orientations,is_about_disability,is_about_class,is_archaic,offensiveness,created_on,updated_on
0,niggerfags,PixjF7YsP,,,niggerfag,fLUpDkJrq,,,eng,English,A homosexual of African descent,,N,,Y,['African'],N,,N,,Y,['homosexual'],N,N,N,Extremely offensive,2022-04-05 20:11:22,2022-04-05 20:11:22
1,niggs,VsCQGvdvX,,,nigg,PeB2toaMx,,,eng,English,A black person.,,N,,Y,['African'],N,,N,,N,['homosexual'],N,N,N,Extremely offensive,2022-04-05 20:09:43,2022-04-05 20:09:43
2,nigg,PeB2toaMx,nigger,ZwnJksDoT,,,,,eng,English,A black person.,,N,,Y,['African'],N,,N,,N,['homosexual'],N,N,N,Extremely offensive,2022-04-05 20:09:31,2022-04-05 20:09:31
3,gender niggers,qRgF4LVXX,,,gender nigger,LEbnQYCHV,,,eng,English,A transgender person,,N,,N,['African'],N,,Y,['transgender'],N,['homosexual'],N,N,N,Extremely offensive,2022-04-05 20:06:59,2022-04-05 20:06:59
4,dune nigger,xHfvkTwGd,,,,,,,eng,English,A person of Arab descent.,,N,,Y,['Arabs'],N,,N,['transgender'],N,['homosexual'],N,N,N,Extremely offensive,2014-01-24 15:00:33,2022-04-05 20:06:22
5,dune coon,YYeAJrsFB,,,,,,,eng,English,A person of Arab descent.,,N,,Y,['Arabs'],N,,N,['transgender'],N,['homosexual'],N,N,N,Extremely offensive,2013-06-17 22:13:30,2022-04-05 20:06:03
6,Canigglet,vGhn4cjan,Canigger,KP4Zcyjsk,,,,,eng,English,A Canadian of African descent,,Y,['CA'],Y,['African'],N,,N,['transgender'],N,['homosexual'],N,N,N,Extremely offensive,2019-04-12 15:12:27,2022-04-05 20:05:12
7,Caniggers,nxcWzJLXP,,,Canigger,KP4Zcyjsk,,,eng,English,A Canadian of African descent,,Y,['CA'],Y,['African'],N,,N,['transgender'],N,['homosexual'],N,N,N,Extremely offensive,2019-04-12 15:11:33,2022-04-05 20:05:04
8,Canigger,KP4Zcyjsk,,,,,,,eng,English,A Canadian of African descent,,Y,['CA'],Y,['African'],N,,N,['transgender'],N,['homosexual'],N,N,N,Extremely offensive,2019-04-12 15:10:48,2022-04-05 20:04:55
9,Cairo coons,gsRJBvpGf,,,Cairo coon,hHpJrwFrD,,,eng,English,A person of Middle Eastern descent,,Y,['EG'],Y,['Arabs'],N,,N,['transgender'],N,['homosexual'],N,N,N,Extremely offensive,2019-04-12 15:09:21,2022-04-05 20:04:28
10,Cairo coon,hHpJrwFrD,,,,,,,eng,English,A person of Middle Eastern descent,,Y,['EG'],Y,['Arabs'],N,,N,['transgender'],N,['homosexual'],N,N,N,Extremely offensive,2019-04-12 15:08:44,2022-04-05 20:04:04
11,border nigger,hFLWWmbso,,,,,,,eng,English,"A person of Latino descent, particularly a Mexican migrant laborer.",,Y,['MX'],Y,['Hispanic'],N,,N,['transgender'],N,['homosexual'],N,N,N,Extremely offensive,2014-03-23 09:01:35,2022-04-05 20:02:15
12,wiggers,aGHXHNUdu,,,wigger,dg9FpkqZN,,,eng,English,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,Y,['IE'],Y,"['European', 'Irish']",N,,N,['transgender'],N,['homosexual'],N,N,Y,Extremely offensive,2018-11-01 20:38:51,2022-04-05 20:01:16
13,wiggerettes,vEvqMazNe,,,wiggerette,CE7kchwDn,,,eng,English,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,Y,['IE'],Y,"['European', 'Irish']",N,,N,['transgender'],N,['homosexual'],N,N,Y,Extremely offensive,2018-11-01 20:38:51,2022-04-05 20:01:04
14,wiggerette,CE7kchwDn,white nigger,UmgCNRBsK,,,,,eng,English,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,Y,['IE'],Y,"['European', 'Irish']",N,,N,['transgender'],N,['homosexual'],N,N,Y,Extremely offensive,2013-11-05 05:04:01,2022-04-05 20:00:53
15,wigger,dg9FpkqZN,white nigger,UmgCNRBsK,,,,,eng,English,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,Y,['IE'],Y,"['European', 'Irish']",N,,N,['transgender'],N,['homosexual'],N,N,Y,Extremely offensive,2013-04-30 02:20:28,2022-04-05 20:00:44
16,wiggas,EvaTU8UZk,,,wigga,jBwkpknHg,,,eng,English,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,Y,['IE'],Y,"['European', 'Irish']",N,,N,['transgender'],N,['homosexual'],N,N,Y,Extremely offensive,2018-11-01 20:38:51,2022-04-05 20:00:35
17,wigga,jBwkpknHg,white nigger,UmgCNRBsK,,,,,eng,English,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,Y,['IE'],Y,"['European', 'Irish']",N,,N,['transgender'],N,['homosexual'],N,N,Y,Extremely offensive,2013-04-30 04:26:30,2022-04-05 20:00:25
18,white niggers,HKCBnUFpE,,,white nigger,UmgCNRBsK,,,eng,English,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,Y,['IE'],Y,"['European', 'Irish']",N,,N,['transgender'],N,['homosexual'],N,N,Y,Extremely offensive,2018-11-01 20:38:50,2022-04-05 20:00:14
19,white nigger,UmgCNRBsK,,,,,,,eng,English,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,Y,['IE'],Y,"['European', 'Irish']",N,,N,['transgender'],N,['homosexual'],N,N,Y,Extremely offensive,2013-06-21 15:09:18,2022-04-05 20:00:03
